SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,NO_MESORREGIAO,CO_MESORREGIAO,NO_MICRORREGIAO,CO_MICRORREGIAO,NO_ENTIDADE,CO_ENTIDADE,QT_MAT_BAS
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,CENTRO EDUCA MAIS PROFESSOR AQUILES BATISTA VIEIRA,21000034,500
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M CORACAO DE JESUS,21000069,38
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM ASSIS CHATEAU BRIAND,21000085,57
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM VER MANOEL DOMINGOS PEREIRA,21000158,33
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM MARECHAL CASTELO BRANCO I,21000190,162
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM INACIO DE VIVEIROS RAPOSO,21000239,342
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M DRº ODILON SOARES,21000255,24
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M DOM PEDRO II,21000328,298
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M PROFª ROSITA CERVEIRA MARQUES,21000336,29
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM SAO MARCOS,21000352,21
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M SANTA TEREZINHA,21000360,19
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M VER MANOEL PEREIRA,21000409,53
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM VER RAIMUNDO JULIO MONTEIRO I,21000417,
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM BENONI COSTA FERREIRA,21000425,74
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M ANTONIO LOBO,21000450,155
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM BARAO DE GRAJAU,21000476,145
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M BARAO DE SAO BENTO,21000484,44
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,ESCOLA CAMINHO DAS ESTRELAS,21000492,148
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M DEPUTADO AMERICO DE SOUSA,21000522,
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M DEPUTADO SABOIA,21000530,54
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM DR BENEDITO LEITE,21000557,22
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M DR FACURE,21000565,172
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M DRº JOAO LEITAO,21000573,20
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM DUQUE DE CAXIAS,21000603,74
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM EURICO RIBEIRO,21000611,
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM GOV JOSE SARNEY,21000646,77
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M GOV NEWTON DE BARROS BELLO,21000654,231
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM JERONIMO VIVEIROS,21000662,43
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM JOSE BONIFACIO,21000689,
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M MALALAEL MORAES,21000697,22
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM MARCIAL RAMALHO MARQUES II,21000727,34
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M SENADOR ARCHER,21000816,26
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM DRA NAISA ARAUJO LEITE,21000824,28
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,EM NOVA ESPERANCA,21000840,17
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M PAULO VI,21000859,24
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M SANTA TEREZA,21000875,42
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M VEREADOR JOAQUIM RIBEIRO,21000905,177
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,E M INACIO RAPOSO,21000948,35
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,UI PRES JOHN KENNEDY,21001022,
MA,21,Alcântara,2100204,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,UE CIDADE DE ALCANTARA,21001030,
MA,21,Bacuri,2101301,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,CE PE JORGE CARA,21001065,525
MA,21,Bacuri,2101301,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,UE 21 DE ABRIL,21001090,79
MA,21,Apicum-Açu,2100832,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,UE ANTONIO BARBOSA,21001103,50
MA,21,Bacuri,2101301,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,UE ANTONIO BITENCOURT,21001111,87
MA,21,Bacuri,2101301,Norte Maranhense,2101,Litoral Ocidental Maranhense,21001,UE BRANCA DE NEVE,21001120,12
